"crym","admd_c","ana_mgpo_nm","ana_ccd_nm","admd_nm","dayofweek","sl_am","sl_ct"
202306,1114061500,"서울특별시","중구","신당동","Fri",1884462,73
202306,1114061500,"서울특별시","중구","신당동","Mon",1235373,47
202306,1114061500,"서울특별시","중구","신당동","Sat",1861547,73
202306,1114061500,"서울특별시","중구","신당동","Sun",1948173,83
202306,1114061500,"서울특별시","중구","신당동","Thu",1820747,73
202306,1114061500,"서울특별시","중구","신당동","Tue",1275980,52
202306,1114061500,"서울특별시","중구","신당동","Wed",2154817,82
202306,1114062500,"서울특별시","중구","다산동","Fri",2497651,99
202306,1114062500,"서울특별시","중구","다산동","Mon",2162330,88
202306,1114062500,"서울특별시","중구","다산동","Sat",3415681,138
202306,1114062500,"서울특별시","중구","다산동","Sun",3940030,156
202306,1114062500,"서울특별시","중구","다산동","Thu",2942720,114
202306,1114062500,"서울특별시","중구","다산동","Tue",2557982,104
202306,1114062500,"서울특별시","중구","다산동","Wed",2683359,109
202306,1114063500,"서울특별시","중구","약수동","Fri",3407797,124
202306,1114063500,"서울특별시","중구","약수동","Mon",2765677,105
202306,1114063500,"서울특별시","중구","약수동","Sat",4621503,162
202306,1114063500,"서울특별시","중구","약수동","Sun",5054735,189
202306,1114063500,"서울특별시","중구","약수동","Thu",2455554,103
202306,1114063500,"서울특별시","중구","약수동","Tue",3672100,129
202306,1114063500,"서울특별시","중구","약수동","Wed",2916024,120
202306,1114064500,"서울특별시","중구","청구동","Fri",2193847,87
202306,1114064500,"서울특별시","중구","청구동","Mon",2310422,83
202306,1114064500,"서울특별시","중구","청구동","Sat",3874607,139
202306,1114064500,"서울특별시","중구","청구동","Sun",3452568,127
202306,1114064500,"서울특별시","중구","청구동","Thu",1862695,77
202306,1114064500,"서울특별시","중구","청구동","Tue",2252652,86
202306,1114064500,"서울특별시","중구","청구동","Wed",2286380,93
202306,1114065000,"서울특별시","중구","신당5동","Fri",1890359,70
202306,1114065000,"서울특별시","중구","신당5동","Mon",1690584,70
202306,1114065000,"서울특별시","중구","신당5동","Sat",2505743,88
202306,1114065000,"서울특별시","중구","신당5동","Sun",2338730,94
202306,1114065000,"서울특별시","중구","신당5동","Thu",2054981,78
202306,1114065000,"서울특별시","중구","신당5동","Tue",1603363,56
202306,1114065000,"서울특별시","중구","신당5동","Wed",1348483,60
202306,1114066500,"서울특별시","중구","동화동","Fri",2195409,80
202306,1114066500,"서울특별시","중구","동화동","Mon",1476934,62
202306,1114066500,"서울특별시","중구","동화동","Sat",2760520,90
202306,1114066500,"서울특별시","중구","동화동","Sun",2838444,95
202306,1114066500,"서울특별시","중구","동화동","Thu",1940145,63
202306,1114066500,"서울특별시","중구","동화동","Tue",1591275,63
202306,1114066500,"서울특별시","중구","동화동","Wed",1719790,59
202306,1114067000,"서울특별시","중구","황학동","Fri",3019834,113
202306,1114067000,"서울특별시","중구","황학동","Mon",1839462,77
202306,1114067000,"서울특별시","중구","황학동","Sat",3848705,142
202306,1114067000,"서울특별시","중구","황학동","Sun",3514522,135
202306,1114067000,"서울특별시","중구","황학동","Thu",2708702,106
202306,1114067000,"서울특별시","중구","황학동","Tue",2336728,90
202306,1114067000,"서울특별시","중구","황학동","Wed",2755484,106
202306,1114068000,"서울특별시","중구","중림동","Fri",2270715,78
202306,1114068000,"서울특별시","중구","중림동","Mon",1157973,46
202306,1114068000,"서울특별시","중구","중림동","Sat",2606379,91
202306,1114068000,"서울특별시","중구","중림동","Sun",2662297,97
202306,1114068000,"서울특별시","중구","중림동","Thu",2077210,84
202306,1114068000,"서울특별시","중구","중림동","Tue",1867840,69
202306,1114068000,"서울특별시","중구","중림동","Wed",1776140,67
202306,1117051000,"서울특별시","용산구","후암동","Fri",2696903,107
202306,1117051000,"서울특별시","용산구","후암동","Mon",2060090,74
202306,1117051000,"서울특별시","용산구","후암동","Sat",3572582,128
202306,1117051000,"서울특별시","용산구","후암동","Sun",4154265,157
202306,1117051000,"서울특별시","용산구","후암동","Thu",2597070,100
202306,1117051000,"서울특별시","용산구","후암동","Tue",2214617,82
202306,1117051000,"서울특별시","용산구","후암동","Wed",2387031,95
202306,1117052000,"서울특별시","용산구","용산2가동","Fri",1231043,43
202306,1117052000,"서울특별시","용산구","용산2가동","Mon",1671164,57
202306,1117052000,"서울특별시","용산구","용산2가동","Sat",1784388,63
202306,1117052000,"서울특별시","용산구","용산2가동","Sun",2260399,86
202306,1117052000,"서울특별시","용산구","용산2가동","Thu",2561450,86
202306,1117052000,"서울특별시","용산구","용산2가동","Tue",1524739,53
202306,1117052000,"서울특별시","용산구","용산2가동","Wed",2503491,85
202306,1117053000,"서울특별시","용산구","남영동","Fri",882537,33
202306,1117053000,"서울특별시","용산구","남영동","Mon",595610,23
202306,1117053000,"서울특별시","용산구","남영동","Sat",1331082,50
202306,1117053000,"서울특별시","용산구","남영동","Sun",1641957,70
202306,1117053000,"서울특별시","용산구","남영동","Thu",1006225,38
202306,1117053000,"서울특별시","용산구","남영동","Tue",616342,23
202306,1117053000,"서울특별시","용산구","남영동","Wed",541344,18
202306,1117055500,"서울특별시","용산구","청파동","Fri",2876131,112
202306,1117055500,"서울특별시","용산구","청파동","Mon",1788679,71
202306,1117055500,"서울특별시","용산구","청파동","Sat",3358264,131
202306,1117055500,"서울특별시","용산구","청파동","Sun",4238980,166
202306,1117055500,"서울특별시","용산구","청파동","Thu",2122103,93
202306,1117055500,"서울특별시","용산구","청파동","Tue",2929504,107
202306,1117055500,"서울특별시","용산구","청파동","Wed",2352488,97
202306,1117056000,"서울특별시","용산구","원효로1동","Fri",4531809,173
202306,1117056000,"서울특별시","용산구","원효로1동","Mon",3994424,154
202306,1117056000,"서울특별시","용산구","원효로1동","Sat",6667946,242
202306,1117056000,"서울특별시","용산구","원효로1동","Sun",6797882,240
202306,1117056000,"서울특별시","용산구","원효로1동","Thu",5598834,204
202306,1117056000,"서울특별시","용산구","원효로1동","Tue",4766366,187
202306,1117056000,"서울특별시","용산구","원효로1동","Wed",5302670,202
202306,1117057000,"서울특별시","용산구","원효로2동","Fri",3514747,130
202306,1117057000,"서울특별시","용산구","원효로2동","Mon",1806560,71
202306,1117057000,"서울특별시","용산구","원효로2동","Sat",3435485,126
202306,1117057000,"서울특별시","용산구","원효로2동","Sun",2817235,112
202306,1117057000,"서울특별시","용산구","원효로2동","Thu",2095450,88
202306,1117057000,"서울특별시","용산구","원효로2동","Tue",2500716,100
202306,1117057000,"서울특별시","용산구","원효로2동","Wed",2145488,89
202306,1117058000,"서울특별시","용산구","효창동","Fri",1706710,65
202306,1117058000,"서울특별시","용산구","효창동","Mon",1933205,79
202306,1117058000,"서울특별시","용산구","효창동","Sat",3617626,130
202306,1117058000,"서울특별시","용산구","효창동","Sun",2941174,113
202306,1117058000,"서울특별시","용산구","효창동","Thu",2184587,86
202306,1117058000,"서울특별시","용산구","효창동","Tue",1857948,78
202306,1117058000,"서울특별시","용산구","효창동","Wed",2121341,83
202306,1117059000,"서울특별시","용산구","용문동","Fri",1903695,77
202306,1117059000,"서울특별시","용산구","용문동","Mon",1675080,64
202306,1117059000,"서울특별시","용산구","용문동","Sat",2364635,79
